contig	aln_nanopo_out	aln_pacbio_out	MD_3_S11_L001_R_out	SRR7135606_out	SRR7135607_out	SRR7135608_out	SRR7135612_out
opera_contig_292	14.2283	8.87481	146.634	395.241	487.047	11.0647	150.23
opera_contig_293	0	19.2966	7.90647	0.05439	0	0	282.652
opera_contig_294	0	1.05175	8.66558	16.5577	9.93295	0.868961	20.7884
opera_contig_295	0	1.64487	0	0	0	0	30.9175
opera_contig_296	0.63091	0.163583	20.0762	4.33889	2.86427	0.0700368	2.3296
opera_contig_297	0.413371	0.0563594	1.53074	18.7242	22.0899	3.19311	1.31579
opera_contig_298	0	0.0101354	21.6151	4.87958	2.8324	0.0267928	2.3112
opera_contig_299	0	0.844024	9.45376	2.01814	1.1707	0.00723147	72.3849
opera_contig_300	0	0.263613	21.9211	4.59663	2.42496	0.0734175	2.24925
opera_contig_301	0.126193	0.122311	21.7266	4.76916	2.48616	0	2.52335
opera_contig_302	0	1.3079	2.95742	0	0	0	17.1036
opera_contig_303	0	1.10683	15.4086	16.2671	10.097	1.0359	21.079
opera_contig_304	0	0.0697499	20.1334	4.45182	2.62325	0.0753383	2.40913
opera_contig_305	3.30471	0	0	22.9016	17.5159	2.34655	2.09505
opera_contig_306	0.613873	0.958938	0.02839	2.74882	3.47762	0.0128709	32.9454
opera_contig_307	0.0840483	0	0.0305329	1.35584	1.44255	0.0572784	0.0304594
opera_contig_308	0.12669	0.190748	21.8651	4.82471	2.73772	0.0787292	2.59515
opera_contig_309	0.0481631	0.918776	16.7344	16.094	9.31836	0.994227	21.6554
opera_contig_310	0.258042	0.0527212	20.7522	4.81389	2.14913	0.0453329	2.53214
opera_contig_311	0	0	22.5887	4.15562	2.11155	0.0305792	2.28081
opera_contig_312	5.83662	23.3285	226.772	492.764	230.661	832.604	1273.93
opera_contig_313	0	1.71068	10.2414	2.33322	0.795972	0.106608	77.0284
opera_contig_314	0.0471608	4.56689	1.39338	6.50166	1.4493	0	92.9437
opera_contig_315	0	0.29064	20.0493	4.53609	2.85488	0.0714729	2.59773
opera_contig_316	0	1.92482	0.093092	4.83005	1.12864	0	39.5695
opera_contig_317	0.100247	0.452187	21.1814	4.29315	2.32016	0.0442072	2.65842
opera_contig_318	0	27.3574	0.0634856	0	0	0	280.063
opera_contig_319	0	0.183606	21.8484	4.74415	2.14663	0.0157332	2.14666
opera_contig_320	0.275457	0	21.2578	4.38267	2.67824	0.0581699	2.70758
opera_contig_321	0	0	20.6542	4.72326	2.72104	0.0787157	3.05202
opera_contig_322	0.11254	0	0.497719	22.6037	26.2909	3.43255	1.56115
opera_contig_323	0	0.542418	9.52796	2.67474	1.21547	0	83.8367
opera_contig_324	0	2.14762	0	0	0	0	34.0647
opera_contig_325	0.0678189	0.442987	22.0211	4.04916	2.46229	0.0320015	2.61335
opera_contig_326	0	0.509425	21.9013	4.35511	2.1625	0.0156607	2.32536
opera_contig_327	1.92499	0.532007	0.638976	29.8292	27.3599	0.369189	24.5137
opera_contig_328	0	0.241757	21.7117	5.03783	2.36231	0.0325492	2.37417
opera_contig_329	0.470679	0	21.3521	4.43702	2.63951	0.0163532	2.54796
opera_contig_330	0	0.474138	0	0	0	0	31.283
opera_contig_331	0	1.25043	0.212339	5.66358	1.19152	0	40.1797
opera_contig_332	0	0.311001	21.6272	5.06022	2.81427	0.07012	2.47913
opera_contig_333	0.0402773	0	20.2201	4.94008	2.18399	0.0794322	2.34203
opera_contig_334	0	0.164883	20.3867	4.93477	2.50991	0.0615999	2.05146
